addr,code,created_at,latitude,longitude,name,remain_stat,stock_at,type
서울특별시 강남구 논현로95길 29-13 2층 (역삼동),12848069,2020/06/05 22:30:00,37.5010881,127.0342169,경희자연한약국,some,2020/06/04 09:50:00,01
서울특별시 강남구 테헤란로25길 59 지하1층 (역삼동),11841940,2020/06/05 22:30:00,37.504318,127.0341902,역삼라이프약국,break,2020/06/05 10:13:00,01
서울특별시 강남구 논현로 561 1층 (역삼동),12869686,2020/06/05 22:30:00,37.5061371,127.0340773,비타약국,break,2020/06/05 09:10:00,01
서울특별시 강남구 논현로 564 1층 (역삼동),12846856,2020/06/05 22:30:00,37.5063354,127.0346621,역삼태평양약국,empty,2020/06/05 13:56:00,01
서울특별시 강남구 논현로 604 태성빌딩 1층 (논현동),12804444,2020/06/05 22:30:00,37.5076529,127.0340669,논현천사약국,break,2020/06/05 08:37:00,01
"서울특별시 강남구 논현로 570 1층 일부호 (역삼동, 여송빌딩)",12847143,2020/06/05 22:30:00,37.5071359,127.0342994,옵티마미소약국,empty,2020/06/05 15:04:00,01
"서울특별시 강남구 논현로 507 지하1층 5호 (역삼동, 성지하이츠3차)",12816019,2020/06/05 22:30:00,37.5015031,127.0362475,성지프라자약국,break,2020/06/05 13:57:00,01
"서울특별시 강남구 논현로 507 지하1층 7호 (역삼동, 성지하이츠3차빌딩)",12840114,2020/06/05 22:30:00,37.50158473,127.0361824,참좋은선약국,empty,2020/06/05 09:04:00,01
"서울특별시 강남구 논현로 503 703-1호 (역삼동, 송촌빌딩)",12846457,2020/06/05 22:30:00,37.50127,127.0363876,세코아약국,break,2020/06/04 11:59:00,01
서울특별시 강남구 논현로 509 1층 1호 (역삼동),12830674,2020/06/05 22:30:00,37.5019299,127.036116,팜스약국,plenty,2020/06/05 09:00:00,01
"서울특별시 강남구 논현로 511 3층 (역삼동, YandC빌딩)",12860263,2020/06/05 22:30:00,37.5022404,127.0360084,다정온누리약국,plenty,2020/06/05 09:01:00,01
서울특별시 강남구 논현로 521-3 1층 (역삼동),12822400,2020/06/05 22:30:00,37.502783,127.035473,역삼다인약국,plenty,2020/06/05 09:05:00,01
"서울특별시 강남구 논현로 508 지하1층 (역삼동, GS강남타워)",12859401,2020/06/05 22:30:00,37.5019949,127.0373364,다래약국,break,2020/06/05 10:33:00,01
서울특별시 강남구 테헤란로28길 5 1층 일부호 (역삼동),11897155,2020/06/05 22:30:00,37.5007722,127.0388458,샬롬온누리약국,break,2020/06/05 08:59:00,01
서울특별시 강남구 테헤란로 206 1층 1호 (역삼동),12812625,2020/06/05 22:30:00,37.5010791,127.0388899,테헤란한서약국,plenty,2020/06/05 20:11:00,01
서울특별시 강남구 테헤란로 216 신웅타워 1층 (역삼동),12860379,2020/06/05 22:30:00,37.501434,127.0401789,수온누리약국,break,2020/06/05 08:41:00,01
서울특별시 강남구 논현로98길 5 1층 (역삼동),11802553,2020/05/03 23:55:00,37.5037183,127.0361414,초원약국,few,2020/04/27 09:59:00,01
서울특별시 강남구 언주로85길 32 역삼역센트럴푸르지오 B106호 (역삼동),12868132,2020/06/05 22:30:00,37.5009284,127.0407513,역삼우주약국,empty,2020/06/05 10:35:00,01
서울특별시 강남구 테헤란로 222 도원빌딩 지하1층 일부 (역삼동),12864463,2020/06/05 22:30:00,37.5016641,127.040788,행복한약국,empty,2020/06/05 09:26:00,01
서울특별시 강남구 테헤란로 310 3층 (역삼동),12822027,2020/06/05 22:30:00,37.5028561,127.0447712,누리약국,plenty,2020/06/05 09:00:00,01
"서울특별시 강남구 언주로 508 (역삼동, 상록회관내)",11846046,2020/06/05 22:30:00,37.5039653,127.0427681,상록약국,plenty,2020/06/05 08:51:00,01
서울특별시 강남구 봉은사로30길 17 1층 (역삼동),12811670,,37.5064634,127.035473,온누리기쁜약국,,,01
"서울특별시 강남구 봉은사로 211 1층 (논현동, 그림바우빌딩)",12858447,2020/06/05 22:30:00,37.5079982,127.0352111,센트럴약국,break,2020/06/05 11:31:00,01
